attempts,time_played,booster_used,level_completion_time,specific_action_usage,lives_from_ads,purchase_amount,purchase_date,device_type,os_version,friend_invites_sent,friend_invites_received,guild_chat_messages,facebook_connect_status,social_engagement_through_facebook,churn,hard_level,purchase_month,ps
176,3288,9,482,fish usage,2,58.69,2023-12-16,android,16.1,0,6,16,1,low,1,0,12.0,0.35479576459099205
107,5140,3,552,special candy swap,25,60.16,2023-12-16,android,11.8,5,7,0,1,low,1,0,12.0,0.3952969049599327
324,800,82,489,striped candy swap,11,13.64,2023-12-16,ipad,11.4,0,6,0,0,low,1,0,12.0,0.16740260560131323
46,2875,0,1246,color bomb creation,0,9.43,2023-12-16,android,16.3,5,23,21,0,low,0,1,12.0,0.2707572082632563
103,800,95,651,extra moves,6,8.09,2023-12-16,iphone,17.8,0,0,20,1,low,0,0,12.0,0.2468707701788108
113,13844,83,512,extra time boost,2,25.8,2023-12-16,android,19.3,0,0,5,1,low,0,0,12.0,0.4482405350187003
57,800,14,534,wrapped candy blast,0,99.99,2023-12-16,iphone,11.2,0,2,57,0,low,0,0,12.0,0.23119643433120154
4,800,15,392,wrapped candy blast,22,12.3,2023-12-16,ipad,14.0,0,0,6,0,low,1,0,12.0,0.31957284349356296
4,13563,20,50,special candy swap,12,26.63,2023-12-15,android,13.9,18,4,12,1,low,0,0,12.0,0.2198319571457938
89,2483,15,467,wrapped candy blast,0,5.75,2023-12-15,iphone,14.0,12,21,0,0,low,1,0,12.0,0.33498994093573553
4,50163,18,82,wrapped candy blast,0,2.18,2023-12-15,android,14.4,7,16,20,1,moderate,0,0,12.0,0.3602877348758812
4,38976,20,50,wrapped candy blast,30,8.43,2023-12-15,iphone,11.2,7,23,11,1,low,0,0,12.0,0.2512796341366046
289,8005,5,1032,extra time boost,0,13.72,2023-12-15,ipad,16.4,43,6,12,0,low,0,1,12.0,0.42638291071093354
272,800,30,424,special candy swap,49,15.94,2023-12-15,iphone,19.3,20,0,3,0,high,0,1,12.0,0.3988372413782788
31,800,14,545,extra time boost,6,6.79,2023-12-15,iphone,12.1,12,0,9,1,low,1,0,12.0,0.253785088836312
4,800,71,248,striped candy blast,4,36.27,2023-12-15,ipad,11.4,2,6,162,0,low,0,0,12.0,0.1636552361793697
4,800,12,2153,fish usage,8,81.41,2023-12-15,iphone,13.4,5,13,11,1,low,1,0,12.0,0.2389408384862378
4,12629,2,50,extra time boost,49,16.77,2023-12-15,ipad,16.2,24,52,12,1,low,1,1,12.0,0.2771230800885512
24,800,3,1464,striped candy swipe,0,20.96,2023-12-15,iphone,11.2,1,3,91,1,low,1,1,12.0,0.24846402316625615
73,800,42,527,extra time boost,7,3.55,2023-12-15,android,11.2,15,12,39,1,low,0,0,12.0,0.29492195749882283
4,800,7,110,extra time boost,9,41.55,2023-12-15,ipad,14.9,18,9,39,0,low,0,1,12.0,0.2830489538171457
4,800,7,240,special candy swap,5,86.76,2023-12-15,ipad,13.0,14,12,1,1,low,0,1,12.0,0.18208504314703483
400,800,29,50,color bomb creation,5,25.3,2023-12-15,iphone,14.8,2,6,0,0,moderate,1,0,12.0,0.30049122286623314
307,800,1,50,fish usage,12,1.62,2023-12-15,ipad,15.0,12,0,13,0,low,0,1,12.0,0.21895761586462983
311,17882,20,883,striped candy swipe,0,17.18,2023-12-15,ipad,13.8,9,20,6,1,low,0,1,12.0,0.40854566610209075
108,800,13,393,striped candy swipe,12,24.62,2023-12-15,iphone,14.1,4,8,103,1,low,0,0,12.0,0.2413590118628694
4,64240,0,50,extra moves,0,25.98,2023-12-15,iphone,19.3,5,0,18,1,low,0,1,12.0,0.39595480236531744
160,4202,62,946,fish usage,25,0.49,2023-12-15,android,18.2,5,4,71,0,low,0,0,12.0,0.3072087742444568
106,3435,43,478,wrapped candy blast,0,20.82,2023-12-15,iphone,11.2,0,14,0,0,low,1,0,12.0,0.2484953655511852
107,800,4,65,striped candy swipe,7,25.73,2023-12-15,android,11.8,0,8,41,0,low,1,1,12.0,0.3643404353017757
62,95000,16,50,striped candy swipe,0,4.55,2023-12-15,android,16.0,48,7,34,1,low,1,0,12.0,0.18371171765419142
73,800,36,494,fish usage,5,19.37,2023-12-15,iphone,15.5,12,112,29,0,low,0,0,12.0,0.25643036053769713
69,13342,1,581,rewarded_boosters,11,99.99,2023-12-15,iphone,16.8,1,15,88,1,low,1,1,12.0,0.30229681977765116
19,8884,38,50,color bomb creation,0,14.43,2023-12-15,iphone,18.9,4,0,0,0,low,0,0,12.0,0.2862708975895653
70,60085,0,50,color bomb usage,0,15.16,2023-12-15,iphone,18.7,14,26,14,1,low,1,1,12.0,0.2656076875471454
42,800,15,2280,striped candy blast,49,23.35,2023-12-15,android,13.9,7,0,53,1,low,0,0,12.0,0.22134533732958267
99,23808,12,361,color bomb usage,6,25.97,2023-12-15,ipad,14.7,2,7,10,1,low,1,0,12.0,0.29989820201243506
400,3659,32,50,striped candy swap,49,17.5,2023-12-15,ipad,11.2,0,21,5,0,low,1,0,12.0,0.23778637178439363
66,800,63,891,color bomb creation,0,7.59,2023-12-15,ipad,11.2,2,23,162,1,low,0,0,12.0,0.23994640114799992
13,95000,45,397,wrapped candy blast,0,2.79,2023-12-15,iphone,12.8,24,16,63,1,low,0,0,12.0,0.28909805084276546
379,5616,2,2140,extra time boost,4,7.22,2023-12-15,ipad,13.3,3,19,162,1,low,0,0,12.0,0.19018555367837595
77,800,83,859,striped candy swipe,10,55.7,2023-12-15,ipad,11.6,0,0,73,0,high,0,0,12.0,0.2710968225216753
142,800,95,1386,striped candy swipe,7,22.12,2023-12-15,android,14.3,3,6,36,0,low,0,1,12.0,0.4931615242572748
306,75410,47,50,striped candy swipe,0,52.55,2023-12-14,ipad,11.2,18,9,28,1,low,0,1,12.0,0.2302545186218065
352,37203,4,1394,fish usage,0,15.24,2023-12-14,ipad,11.2,14,10,0,0,low,0,0,12.0,0.23827779184413805
37,38793,14,1591,striped candy swipe,0,5.07,2023-12-14,ipad,12.1,35,25,0,1,low,0,0,12.0,0.24256921836234924
8,800,43,499,special candy swap,0,17.05,2023-12-14,android,19.3,18,46,35,1,low,0,1,12.0,0.4508363470383106
12,6170,35,50,fish usage,0,2.26,2023-12-14,iphone,13.3,12,0,6,1,high,0,0,12.0,0.20090024703030013
42,8193,10,50,extra moves,35,9.01,2023-12-13,ipad,11.2,49,94,10,0,low,0,0,12.0,0.2396360689373437
78,63321,27,50,extra time boost,2,4.44,2023-12-13,android,12.3,27,14,0,1,low,0,0,12.0,0.2590286804440016
339,800,33,435,extra moves,49,99.99,2023-12-13,ipad,11.2,11,3,0,0,low,0,0,12.0,0.2203291897681804
364,6470,11,986,striped candy swap,9,19.32,2023-12-13,iphone,11.4,12,23,2,0,low,1,0,12.0,0.17526300611789106
4,800,28,1005,fish blast,0,6.04,2023-12-13,ipad,11.2,4,15,3,0,low,0,0,12.0,0.24028545785188393
400,24821,7,585,fish blast,16,35.88,2023-12-13,ipad,13.1,18,30,41,0,low,0,0,12.0,0.28653707957619434
258,12417,93,112,striped candy swipe,21,18.88,2023-12-12,ipad,11.2,29,23,34,1,low,1,0,12.0,0.23748664422665286
113,800,23,170,extra moves,14,17.81,2023-12-12,iphone,11.9,0,0,0,0,low,0,1,12.0,0.36312755893987314
4,800,7,50,fish usage,0,4.4,2023-12-12,ipad,16.9,5,7,0,1,low,0,0,12.0,0.34743812991011597
64,800,95,263,color bomb usage,12,2.99,2023-12-12,iphone,15.5,0,4,13,0,low,1,1,12.0,0.26019259281309237
358,1794,1,2280,wrapped candy blast,49,8.94,2023-12-12,iphone,13.2,7,0,5,0,low,0,0,12.0,0.2586646867577447
48,22744,95,304,special candy swap,0,24.85,2023-12-12,ipad,15.7,28,4,12,1,low,0,1,12.0,0.31113929960107556
142,5156,42,50,special candy swap,28,22.76,2023-12-12,ipad,13.0,2,5,128,0,low,1,0,12.0,0.19379193239072903
400,8528,73,448,extra moves,1,6.19,2023-12-12,iphone,14.8,21,6,23,0,low,0,0,12.0,0.30532880755992337
4,28100,29,378,fish usage,0,0.71,2023-12-12,ipad,11.2,13,5,35,0,low,0,1,12.0,0.24145387353809375
4,23470,10,50,extra moves,36,99.99,2023-12-12,android,11.2,17,112,41,0,low,1,1,12.0,0.2705000737261454
189,800,14,229,color bomb usage,4,3.68,2023-12-12,iphone,11.2,5,5,0,0,low,1,0,12.0,0.2523525293596298
190,800,16,1218,fish usage,6,24.29,2023-12-12,iphone,13.3,0,3,5,0,low,0,0,12.0,0.19669369714607945
4,48230,10,966,striped candy swipe,0,27.15,2023-12-12,ipad,14.1,0,6,3,1,low,0,0,12.0,0.22962009969745092
252,11561,49,93,wrapped candy swap,0,21.05,2023-12-12,iphone,16.6,15,15,4,1,low,0,0,12.0,0.34408063422158525
23,800,2,381,color bomb creation,3,16.28,2023-12-12,ipad,15.6,4,0,10,0,low,0,0,12.0,0.20256667599068623
82,11833,95,159,striped candy swipe,0,24.59,2023-12-12,ipad,17.7,6,6,5,1,low,1,0,12.0,0.34884642054837844
4,800,14,981,fish usage,49,7.46,2023-12-12,iphone,19.3,76,0,15,0,low,0,0,12.0,0.4012772937469336
157,800,5,166,wrapped candy swap,2,24.88,2023-12-12,iphone,12.1,0,4,5,1,low,0,0,12.0,0.249699909154199
34,800,13,262,extra time boost,0,9.4,2023-12-12,iphone,13.5,2,0,0,0,low,0,0,12.0,0.2892179548925365
108,29447,0,50,extra moves,34,21.02,2023-12-12,iphone,15.8,14,20,6,1,low,0,0,12.0,0.2877656123372
8,800,91,50,extra moves,6,7.98,2023-12-12,android,14.4,0,15,33,0,low,1,1,12.0,0.35756716951593476
228,800,82,273,striped candy swipe,7,0.45,2023-12-12,android,11.2,0,3,7,1,low,1,0,12.0,0.295695366115225
400,800,58,561,extra time boost,2,16.28,2023-12-12,ipad,14.0,32,18,19,1,low,1,0,12.0,0.3185361928824064
